SIEMENS7C16,2024-03-18 14:00:15,65f848ef12faf1e4d9691551,17.41901397705078,47.40592575073242,898,22,0.0
SIEMENS7C16,2024-03-18 14:01:16,65f8492c12faf1e4d96915c8,17.37628936767578,47.43208312988281,892,20,0.0
SIEMENS7C16,2024-03-18 14:00:15,65f848ef12faf1e4d9691551,17.41901397705078,47.40592575073242,898,22,0.0
SIEMENS7C16,2024-03-18 14:01:16,65f8492c12faf1e4d96915c8,17.37628936767578,47.43208312988281,892,20,0.0
SIEMENS7C16,2024-03-18 14:01:44,timesync
SIEMENS7C16,2024-03-18 14:02:32,timesync
SIEMENS7C16,2024-03-18 14:02:48,timesync
SIEMENS7C16,2024-03-18 14:03:20,timesync
SIEMENS7C16,2024-03-18 14:03:36,timesync
SIEMENS7C16,2024-03-18 14:04:09,timesync
SIEMENS7C16,2024-03-18 14:04:25,65f849e912faf1e4d969174c,17.41901397705078,47.3315544128418,873,22,0.0
SIEMENS7C16,2024-03-18 14:07:03,timesync
SIEMENS7C16,2024-03-18 14:07:35,timesync
SIEMENS7C16,2024-03-18 14:07:51,timesync
SIEMENS7C16,2024-03-18 14:08:24,65f84ad812faf1e4d96919ea,17.520484924316406,49.31052017211914,907,34,207.00979614257812
SIEMENS7C16,2024-03-18 14:08:52,timesync
SIEMENS7C16,2024-03-18 14:11:02,timesync
SIEMENS7C16,2024-03-18 14:11:33,timesync
SIEMENS7C16,2024-03-18 14:12:21,65f84bc612faf1e4d9691ca7,17.787521362304688,50.566959381103516,1100,51,212.37380981445312
SIEMENS7C16,2024-03-18 14:13:06,timesync
SIEMENS7C16,2024-03-18 14:13:22,65f84c0212faf1e4d9691d5e,17.915695190429688,50.1666374206543,1128,52,201.88418579101562
SIEMENS7C16,2024-03-18 14:14:54,timesync
SIEMENS7C16,2024-03-18 14:15:11,65f84c6f12faf1e4d9691e97,17.985122680664062,50.21172332763672,1196,62,179.95138549804688
SIEMENS7C16,2024-03-18 14:15:55,timesync
SIEMENS7C16,2024-03-18 14:16:11,timesync
SIEMENS7C16,2024-03-18 14:16:43,timesync
SIEMENS7C16,2024-03-18 14:17:16,65f84cec12faf1e4d9691ffa,18.086593627929688,50.54910659790039,1270,67,0.0
SIEMENS7C16,2024-03-18 14:18:17,timesync
SIEMENS7C16,2024-03-18 14:19:21,65f84d6912faf1e4d969214d,18.0732421875,49.88602066040039,1285,62,0.0
SIEMENS7C16,2024-03-18 14:20:22,65f84da612faf1e4d96921f5,18.014495849609375,49.63298797607422,1286,61,0.0
SIEMENS7C16,2024-03-18 14:20:50,timesync
SIEMENS7C16,2024-03-18 14:21:22,timesync
SIEMENS7C16,2024-03-18 14:21:38,timesync
SIEMENS7C16,2024-03-18 14:22:10,timesync
SIEMENS7C16,2024-03-18 14:23:15,timesync
SIEMENS7C16,2024-03-18 14:23:31,timesync
SIEMENS7C16,2024-03-18 14:24:03,timesync
SIEMENS7C16,2024-03-18 14:24:19,65f84e9412faf1e4d9692425,17.915695190429688,49.05854415893555,1263,50,0.0
SIEMENS7C16,2024-03-18 14:25:20,timesync
SIEMENS7C16,2024-03-18 14:26:24,65f84f1012faf1e4d9692590,17.803543090820312,48.960060119628906,1250,51,0.0
SIEMENS7C16,2024-03-18 14:27:25,65f84f4d12faf1e4d969262e,17.81689453125,48.869537353515625,1242,45,0.0
SIEMENS7C16,2024-03-18 14:27:54,timesync
